編號,時間,貼文,標籤,標註,打卡地點,留言數,愛心數,標籤數,標註數,圖片數,貼文網址,圖片網址
2392287252653778449,2020-09-06 22:34:45,"怎麼可以這麼好看💓
我說衣服🤪
 #shy shy的 辣辣的

Thank you @aiplitsao @haley_duu @yany0801 @see_u_hong 
購買見 #安安邊緣子 粉絲團","shy
安安邊緣子","aiplitsao
haley_duu
yany0801
see_u_hong",,23,2029,2,4,3,https://www.instagram.com/p/CEzHJTXH6YR/,"['https://instagram.ftpe8-3.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118830148_667951780741403_1771014885462438777_n.jpg?_nc_ht=instagram.ftpe8-3.fna.fbcdn.net&_nc_cat=111&_nc_ohc=gSxzzCJIsrsAX8HcvsN&oh=34e74ebe210f6c86c31edd8eff60b481&oe=5F80D7AF', 'https://instagram.ftpe8-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118777788_3427782100578567_3111048417719315495_n.jpg?_nc_ht=instagram.ftpe8-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=zK5o-UNCJOgAX_uu5a5&oh=6155c578e4023d7d237437113d65d02b&oe=5F80DFE5', 'https://instagram.ftpe8-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118878848_2627400987573517_8530626695135432103_n.jpg?_nc_ht=instagram.ftpe8-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=9zpjlQIEyFAAX8f_eSr&oh=2d9f8ca154c9dfba12a3127a053f0717&oe=5F7F897C']"
2390745088761265265,2020-09-04 19:30:45,"怎麼樣 給載嗎？🤍🖤🤍
·
·
·
沒駕照你還敢坐！？🤪

@2d.cafetw #2dcafe #2dcafe新莊 #2dcafe新北旗艦店 
#聽說台中高雄店也開幕 #高雄店有2d跑車 #超想坐","2dcafe
2dcafe新莊
2dcafe新北旗艦店
聽說台中高雄店也開幕
高雄店有2d跑車
超想坐",2d.cafetw,,28,2480,6,1,1,https://www.instagram.com/p/CEtof3UH_xx/,https://instagram.ftpe8-4.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118823017_907055699816630_5321997363840236084_n.jpg?_nc_ht=instagram.ftpe8-4.fna.fbcdn.net&_nc_cat=102&_nc_ohc=H7x0kSU4-FoAX8qb6Ge&oh=fa9d5c22a3beae0db67f5fc206dce8b1&oe=5F7F128A
2388721584679167177,2020-09-02 00:30:24,"九月girl💓想要得到神力🦸‍♀️

👚： @caco_tw @beast_kingdom #WBinvited 
生日月有新衣穿💓
覺得幸運這兩件衣服我都超喜歡！
然後自己覺得caco這件我的穿法比官網好看 
哈哈哈哈哈！

#wonderwomen #神力女超人1984 #百事可樂","WBinvited
wonderwomen
神力女超人1984
百事可樂","caco_tw
beast_kingdom",,17,1853,4,2,4,https://www.instagram.com/p/CEmcaASHCTJ/,"['https://instagram.ftpe8-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118516729_770062560423500_5888688150292411335_n.jpg?_nc_ht=instagram.ftpe8-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=Fbnyi8Rpy-EAX8sW9Rp&oh=c5a0892487a8744108410214abcb4c7c&oe=5F814CE2', 'https://instagram.ftpe8-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118561198_653472481962757_230429619498826943_n.jpg?_nc_ht=instagram.ftpe8-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=oFugUS8MAVkAX-x0wlg&oh=39c16da12559a81e608e669dd62176f8&oe=5F7F5F32', 'https://instagram.ftpe8-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118518294_747639552683072_3052510116960272991_n.jpg?_nc_ht=instagram.ftpe8-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=l2NgD6A3HxAAX-r0TtE&oh=227dedd3c47a696802e265f4d14192bc&oe=5F7F053D', 'https://instagram.ftpe8-4.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118599518_817977895609108_5740132389321714958_n.jpg?_nc_ht=instagram.ftpe8-4.fna.fbcdn.net&_nc_cat=104&_nc_ohc=iJMv6iDeHwsAX_umhr-&oh=fab502aa4020a932a1888a11fd3ffbd1&oe=5F815DBE']"
2387887545114340195,2020-08-31 20:53:19,"泡泡仙子上線中🧚🏼‍♀️
哈哈哈泡泡仙子聽起來沒什麼神力好廢
臉上的泡泡最近試用到的好物！
你們有看過這～麼扎實細緻的泡泡嗎？
我是從來沒有用過
泡泡扎實到可以在我臉上不會掉下來欸
重點是我只擠一點點就有這種效果😲
這是一款潔顏泥 我有感受到這樣經過濃密的泡泡洗臉之後 真的有毛孔被乾淨的感覺
但不會緊緊很乾那樣
因為好像除了礦泥 還加了很多水果精華
比泥膜還要溫和許多

試用快一個月 
滿喜歡的～
而且產品是日本直送 覺得很有質量保證🤣
@palclair.tw @beltatw
#看起來很累很正常 
#黑眼圈已經病入膏肓 #belta#palclair
#palclair海山泥礦淨白潔顏泥","看起來很累很正常
黑眼圈已經病入膏肓
belta#palclair
palclair海山泥礦淨白潔顏泥","palclair.tw
beltatw",,18,1654,4,2,4,https://www.instagram.com/p/CEjexIaHqtj/,"['https://instagram.ftpe8-3.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/118519885_837659013435227_6657190675690488876_n.jpg?_nc_ht=instagram.ftpe8-3.fna.fbcdn.net&_nc_cat=111&_nc_ohc=bqrRpJmWPnoAX9XrIMf&oh=2f4d43c74183bc0a7db01861ba610063&oe=5F80F016', 'https://instagram.ftpe8-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/118507872_328515254867528_2432594938327067922_n.jpg?_nc_ht=instagram.ftpe8-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=9uaTnApKx1wAX9whKCN&oh=496ccd503650f562a2aff810eb992b6b&oe=5F7E7A8F', 'https://instagram.ftpe8-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/118600412_326486221886149_2959799887522548132_n.jpg?_nc_ht=instagram.ftpe8-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=oUH18o5xoIYAX-Jo384&oh=48af232b2762ad8b9fce6245c0ee68d6&oe=5F7FA0CB', 'https://instagram.ftpe8-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/118545846_233753961292239_1763666953851652343_n.jpg?_nc_ht=instagram.ftpe8-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=xhSMYv5PyoAAX-FH87F&oh=62a9f1f4618d8ab98ce415cd4a4f2bd7&oe=5F7ED3FA']"
2387260346233282811,2020-08-31 00:07:11,"謝謝華納兄弟🥰
這咖神力女超人電影禮盒超棒的！
希望穿上衣服 吃完零食 用枕頭睡覺後也可以和Gal一樣正🤣（做夢最快）
想起到電影院看第一集的時候
她算是滿早推出的女英雄電影
心中真的是滿滿的激動跟興奮！
現在第二集《神力女超人1984》就要上映
真的等不及揭開二戰後的故事

禮盒中我拿到的一件衣服來自 #caco 聯名 一件來自 #野獸國
兩件我都超愛！然後自己覺得我的穿法比Caco官網上好😜
野獸國這件女超人Mark是有紫藍特殊的反光 真的超好看 很值得入手
大家想看我的穿搭嗎？嘻嘻
除了衣服還有聯名超多東西 #百事可樂 、 #JellyBelly 糖果都有

所以在9/15(二)以前
凡購買【神力女超人1984】周邊商品，與商品合照，上傳至個人Instagram，並Hashtag #TWWONDERWOMAN 
即有抽獎資格！
周周抽【神力女超人1984】電影交換卷及周邊商品，等您一起加入! (活動詳請請 IG @paclicensing 

#來用抱枕睡午覺 #WBInvited #Beastkingdom #Funko #RDP #jellybelly #ww84","caco
野獸國
百事可樂
JellyBelly
TWWONDERWOMAN
來用抱枕睡午覺
WBInvited
Beastkingdom
Funko
RDP
jellybelly
ww84",paclicensing,,13,1285,12,1,3,https://www.instagram.com/p/CEhQKL7nGD7/,"['https://instagram.ftpe8-3.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118515465_623594971921459_2453477383190200365_n.jpg?_nc_ht=instagram.ftpe8-3.fna.fbcdn.net&_nc_cat=107&_nc_ohc=-OzXfhZDNsYAX-UGUmd&oh=8b453edcf1d68d6630841418d7a9c855&oe=5F7EAC39', 'https://instagram.ftpe8-4.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118472704_1032851927153258_9043997535958280321_n.jpg?_nc_ht=instagram.ftpe8-4.fna.fbcdn.net&_nc_cat=102&_nc_ohc=wZ3rUvs0FGYAX-6b8MJ&oh=e1874cbf4a738cda3d81fb67c307a972&oe=5F7E02EF', 'https://instagram.ftpe8-4.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118492248_312344156859770_7543522816057096379_n.jpg?_nc_ht=instagram.ftpe8-4.fna.fbcdn.net&_nc_cat=102&_nc_ohc=0hcGDbMCYxcAX8nIsKI&oh=aa381047cb045f75d7d38dcc9ca6e89a&oe=5F7E08C1']"
2386344290115505392,2020-08-29 17:47:09,"今晚⋯我想來點⋯⋯
baan的⋯「泰式雪糕」🤤
哈哈哈 看我的口氣
知道我每次都被誰洗腦嗎🤣
好啦不是重點～跟你們說這個冰棒 超 好 吃！
泰國菜餐廳 #baan 有獲得曼谷的必比登推薦過
看到這個頭銜
我身為一個泰菜+泰奶超級愛好者
怎能不試試看😋
（自己貪吃就說咩）
齁～ #泰式奶茶 口味 超好吃👍
表情顯示一切哈哈
不會有焦焦的怪味 甜度適中 
有奶香味但同時茶味也很濃
其中的珍珠又很Q!!!
（硬掉的珍珠超扣分 同不同意！）
橘白漸層的外觀又很上相（給過）
真心推薦喜歡泰奶或奶茶系列商品的捧油都必須Try Try
會有一秒飛泰國的錯覺
#摩摩喳喳 雪糕 不是我不中意
而是⋯我到餐廳本來就不會去點摩摩喳喳🤣
但這雪糕本身也是神還原這道甜點 裡面QQ的料也保持口感
所以本身喜歡摩摩喳喳的捧油應該會覺得很好吃

說這麼多⋯總結就是可買 好吃
🔍 PChomeX家好選物專區 就找得到

@PChome24h購物
#PChome24h購物 #家好選物 #homegallery 
#baan #baan泰式奶茶雪糕 #baan摩摩喳喳雪糕","baan
泰式奶茶
摩摩喳喳
PChome24h購物
家好選物
homegallery
baan
baan泰式奶茶雪糕
baan摩摩喳喳雪糕",PChome24h購物,,40,1270,9,1,4,https://www.instagram.com/p/CEd_30MHczw/,"['https://instagram.ftpe8-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118354346_243296336843821_4516940742436322067_n.jpg?_nc_ht=instagram.ftpe8-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=SpHEJhOQQcYAX_JQWVD&oh=5b7d94d0b21d65e70b53a878ffbb5239&oe=5F7F1FA0', 'https://instagram.ftpe8-4.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118401231_763483700863030_3866521227397108321_n.jpg?_nc_ht=instagram.ftpe8-4.fna.fbcdn.net&_nc_cat=110&_nc_ohc=4Eim4-wHGRQAX_VQ-2N&oh=81b29178126a6c9588d31208ceca0af6&oe=5F7FD63E', 'https://instagram.ftpe8-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118418856_176922857291523_3206847153162796126_n.jpg?_nc_ht=instagram.ftpe8-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=Sk_Q_46xJXMAX8BGxkn&oh=194c2342a46263bd363da1ba24147cfc&oe=5F7E37F1', 'https://instagram.ftpe8-4.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118363220_2733593803411022_6379477562166112314_n.jpg?_nc_ht=instagram.ftpe8-4.fna.fbcdn.net&_nc_cat=102&_nc_ohc=c7kUuOIf6nAAX9sBxs1&oh=ac15dea756796aa6e2e14bf8e4084f13&oe=5F7FB381']"
2385764711466519415,2020-08-28 22:35:38,"累積了好多照片
不知要從何發起哈哈哈
算了不想了⋯
Friday Night 隨心所欲啦🤪
我覺得我喜歡這些動畫角色時
就是個花心大蘿蔔
愛你愛他又愛他哈哈哈
其實 #玩具總動員 我很愛紅心♥️
但牠真的有夠冷門
幾乎可以說是零周邊
不覺得紅心真的很可愛嗎🤣
#cafein #toystory #玩具總動員快閃店","玩具總動員
cafein
toystory
玩具總動員快閃店",,,14,1329,4,0,2,https://www.instagram.com/p/CEb8F1gn8t3/,"['https://instagram.ftpe8-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118298170_122300509322689_4230606406736818290_n.jpg?_nc_ht=instagram.ftpe8-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=GIIoCzDwh2wAX9jsKII&oh=e8bc804da2fae22632d1150c28103e9e&oe=5F812570', 'https://instagram.ftpe8-3.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118406012_630085334566326_5563048623004113337_n.jpg?_nc_ht=instagram.ftpe8-3.fna.fbcdn.net&_nc_cat=106&_nc_ohc=BaQszFphXygAX-w8-pc&oh=8f3a36be24b3d107a63f16a59610c9a3&oe=5F80EDF7']"
2384762614989988141,2020-08-27 13:24:38,"齁齁齁！臭臉氣勢?照來了🤪
一直都想要擁有 #GA 的底妝產品 
這次有機會試用到超強新品 #裸粉持妝乳
結論是🤔️
我覺得真的很厲害👍
厲害在於它超服貼 
然後雖然呈現的是霧面的質感 卻不會覺得乾
好像因為裡面加了滿高成分的水精華來加強保濕
另外就是高遮瑕的部分滿令我驚豔
一般這種妝前乳定位的產品 不會有那麼高的遮瑕
大家可以看我第三張前後對比
兩頰和下巴的痘疤大概有遮7成
再疊上粉底液基本上就差不多了
但是我的重度黑眼圈是完全無法
一定還要用遮瑕🤦🏻‍♀️
雖然遮瑕高 但卻不會看起來很厚重
應該是因為很貼妝的關係
最後我覺得超猛的地方是提亮膚色
因為明明是比較霧面的質感
但擦完之後卻有整張臉像打光一樣亮起來的感覺💡
日常完全可以直接擦它就出門（我都這樣～超愛只擦潤色防曬或妝前乳）
但這支比較像清透的粉底液啦
妝感比較完整一點！

另外兩項明星產品也是讓我興奮
我已經不知道走去 #GA 專櫃幾趟想入手
噢噢噢 擁有它們真美好🥰哈哈哈 我還把它們放在床上一起睡覺🤣
這兩個產品真的如其他美妝大大說的
持久力很猛～
我乾性膚質擦起來是全霧面  一整天也沒什麼出油
看中東大油田 #婊姐 說她用起來超愛
所以應該是超適合油肌的一款底妝
那我覺得 #水慕斯粉底 也是厲害在貼妝程度
真的超貼但不乾 視覺上會以為粉底上很薄的那種
然後有一層紗柔焦皮膚和毛孔
總之就是皮膚看起來很貴婦啦😌我們女孩的夢想哈哈哈
紅氣墊更薄透一點 
跟持妝乳一樣也是很適合平日的底妝產品
重點從包裡拿出來很有氣勢（到底都在追求什麼🤣）
好啦真實試用分享又在掏心掏肺說一堆

總之底妝這種東西就是要走一趟去專櫃更知道適不適合自己
#9 月 1 日盛大上市送限量訂製裸粉隨身鏡

#GA #亞曼尼 400 次特調底妝 #裸粉持妝乳 #雲絲絨粉底 #持久又服貼 #細緻零毛孔 #我的亞曼尼","GA
裸粉持妝乳
GA
婊姐
水慕斯粉底
9
GA
亞曼尼
裸粉持妝乳
雲絲絨粉底
持久又服貼
細緻零毛孔
我的亞曼尼",,,29,1062,13,0,7,https://www.instagram.com/p/CEYYPacHCEt/,"['https://instagram.ftpe8-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118514076_353223785707644_4366369654398229690_n.jpg?_nc_ht=instagram.ftpe8-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=EZaj_7qsCk0AX9hRT-v&oh=2b818a82428b03c8257ee5105fdbbeab&oe=5F7FAC61', 'https://instagram.ftpe8-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118256334_612202029488913_2350497579170574816_n.jpg?_nc_ht=instagram.ftpe8-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=4iYtozfLGVkAX-vLaqk&oh=29b31ee128b4d7ffba336c2e77edb643&oe=5F818F8F', 'https://instagram.ftpe8-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118255318_626613188240465_3724978195368071180_n.jpg?_nc_ht=instagram.ftpe8-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=V6jLfkgKCkAAX8tZSgx&oh=c7d2e8ff9d12b16a961f3b5773518924&oe=5F8180BC', 'https://instagram.ftpe8-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118253719_733543660533821_6085009579809680850_n.jpg?_nc_ht=instagram.ftpe8-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=d4zPch0qLnEAX8B50Il&oh=40744b9b6c67e705e671f193dc0105e9&oe=5F7F2D84', 'https://instagram.ftpe8-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118417573_606100800052949_6383367171014810811_n.jpg?_nc_ht=instagram.ftpe8-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=sjZbUTMPGrEAX_P2I5Z&oh=0dc49706573d5b9a038a77fbdd3448bf&oe=5F7FC6D4', 'https://instagram.ftpe8-4.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118369792_252272275794230_6338778769804897434_n.jpg?_nc_ht=instagram.ftpe8-4.fna.fbcdn.net&_nc_cat=102&_nc_ohc=5zJqxeXMhpUAX_Rz8rK&oh=a047f6a4ed053e9285a8ae7c41547287&oe=5F7FF530', 'https://instagram.ftpe8-3.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118404227_174990094142623_4964853200351922168_n.jpg?_nc_ht=instagram.ftpe8-3.fna.fbcdn.net&_nc_cat=107&_nc_ohc=UYi9XB0xYXYAX-KRtL-&oh=ee5bd3d64a2ae02c27c2d6ed70d4c9e7&oe=5F7DC29F']"
2383393334478427720,2020-08-25 16:04:07,"情人節來讓大家看我跟療癒動物們約會的照片🤣💕
第一張有沒有很像置身日本！
水豚君在泡溫泉的感覺 太可愛了～
但牠真的很像民間故事裡吃大餅的婦人
胡蘿蔔要放到嘴邊 真的要貼到嘴唇那樣牠才要吃欸！
完全被遊客們寵壞😑
但看懶懶散散的水豚真的滿療癒就是了

草泥馬🦙和小鹿斑比🦌區就是一直想引誘牠們吃東西但又一直被追著跑🤣
終於看到草泥馬
他們額頭上的Q毛很帥捏

然後因為我之前有領 #農遊券 
誤打誤撞居然可以用來買 #埔心牧場 的票 很划欸～提供不想用來買米買雞蛋的你們一個新的使用地點✌️
#水豚 #草泥馬 #梅花鹿 #桃園景點 #牧場","農遊券
埔心牧場
水豚
草泥馬
梅花鹿
桃園景點
牧場",,埔心牧場,20,1427,7,0,9,https://www.instagram.com/p/CETg5wlntZI/,"['https://instagram.ftpe8-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/117973459_1218338835182516_4218881479369408083_n.jpg?_nc_ht=instagram.ftpe8-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=e9tO8Q5K32oAX_r5MXn&oh=688225ab76413c0b9759c2686c0e9d66&oe=5F7F7830', 'https://instagram.ftpe8-3.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118390939_233757427954763_2315843449431110593_n.jpg?_nc_ht=instagram.ftpe8-3.fna.fbcdn.net&_nc_cat=111&_nc_ohc=IGx5JcSTP0EAX_aLrrh&oh=e9d30cbb8ebb1d75aa50ac7b2bd7d6e7&oe=5F80A5AE', 'https://instagram.ftpe8-4.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118313281_178982537005250_4620172746393425426_n.jpg?_nc_ht=instagram.ftpe8-4.fna.fbcdn.net&_nc_cat=102&_nc_ohc=MDYDqL0FTVkAX-x4fXY&oh=102f3e7c936df28b15240f25ceef7e84&oe=5F7FCF46', 'https://instagram.ftpe8-4.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118366104_311007406785910_4067891646813137510_n.jpg?_nc_ht=instagram.ftpe8-4.fna.fbcdn.net&_nc_cat=110&_nc_ohc=ZFhN5TvwdHoAX_fSGLp&oh=b9fdd42a5d1f5c046829e4685d5593c9&oe=5F8025B8', 'https://instagram.ftpe8-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118579359_925925344585316_3454259052177743380_n.jpg?_nc_ht=instagram.ftpe8-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=vTBae4l3TcQAX9r0Z8K&oh=6f62d4a2fef5c631474dee1790ebeaa3&oe=5F7E88A1', 'https://instagram.ftpe8-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118289490_623491231929941_2491933633783382883_n.jpg?_nc_ht=instagram.ftpe8-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=FLry2_6RrosAX-rBJLA&oh=5718e4074b3a7e50388a436408d38c73&oe=5F7DE291', 'https://instagram.ftpe8-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118366104_3194335377328236_8829675664290995637_n.jpg?_nc_ht=instagram.ftpe8-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=_53k6viEMrwAX9jsp8f&oh=ae97f1e642f5bafeb9fbfbca6138d2cb&oe=5F7FFE7B', 'https://instagram.ftpe8-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118267103_171484467883213_761486322673711315_n.jpg?_nc_ht=instagram.ftpe8-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=KjerHczuIFkAX9vHckm&oh=064be18cbdf2708bcd53324feff2c200&oe=5F80B2A2', 'https://instagram.ftpe8-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118174054_224926448923172_5130716038743937350_n.jpg?_nc_ht=instagram.ftpe8-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=RA2yOw133bwAX_ibxQU&oh=6e98bc85b38490722045a31c0198476d&oe=5F7F0648']"
2381834023935454277,2020-08-23 12:26:03,"用三倍券到 #好市多 買了 #airpodspro 
真的划算 哈哈哈
如果剛好有想入手的東西 
就會覺得3倍券來的時機真好😆
謝謝 @rhinoshieldtw 馬上來給耳機添新衣
在殼上面燙金字好有質感
而且這樣就等於擁有了自己專屬的殼🥰
可以自己加購不同顏色的上蓋（60元）
撞色搭配非常Q
我超愛黃白搭配 💛🤍
很像芒果奶昔有沒有
你們有沒有喜歡我用哪種配色勒！？

只要有犀牛盾就有折扣碼😚🙌
折扣碼：igee2008
日期：8/23-8/30
#犀牛盾Airpods保護套 
#我就是名牌 #rhinoshieldairpods
#犀牛盾 #rhinoshield","好市多
airpodspro
犀牛盾Airpods保護套 
我就是名牌 #rhinoshieldairpods
犀牛盾
rhinoshield",rhinoshieldtw,,19,1613,6,1,7,https://www.instagram.com/p/CEN-WzenKxF/,"['https://instagram.ftpe8-4.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118202408_2671452026427232_8034244581183359943_n.jpg?_nc_ht=instagram.ftpe8-4.fna.fbcdn.net&_nc_cat=104&_nc_ohc=RQuCW24QlF0AX8Tneew&oh=7ffdeedc0627de99758c11d5e59c3d4b&oe=5F7F40E2', 'https://instagram.ftpe8-3.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/117903632_316436956438974_3965220632818242027_n.jpg?_nc_ht=instagram.ftpe8-3.fna.fbcdn.net&_nc_cat=106&_nc_ohc=_eQPsTdloN0AX-tXZt9&oh=2f28024753b6257e029f443053380b7e&oe=5F80A4F7', 'https://instagram.ftpe8-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118144803_324329498619368_8615657212294786033_n.jpg?_nc_ht=instagram.ftpe8-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=KbKYdfkiyg0AX-t8UZx&oh=5aafbe603ddfc3c10403497607c21259&oe=5F7DD44A', 'https://instagram.ftpe8-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/117930738_776528729802852_975324341181165117_n.jpg?_nc_ht=instagram.ftpe8-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=jFlvqe8_ha4AX-FknXm&oh=06e925a91f30930047796292d9cf682f&oe=5F809F34', 'https://instagram.ftpe8-3.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118120984_4220942067980094_3916318752523597415_n.jpg?_nc_ht=instagram.ftpe8-3.fna.fbcdn.net&_nc_cat=106&_nc_ohc=zE_pnz-lngIAX-FVLBI&oh=b710f9d9005025cfbc73edc084184ae8&oe=5F7F1FA9', 'https://instagram.ftpe8-4.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/118005856_682162509047246_5978491834699215785_n.jpg?_nc_ht=instagram.ftpe8-4.fna.fbcdn.net&_nc_cat=102&_nc_ohc=CaRjeT-xfwsAX804yuW&oh=72836bc9a3c04d7dc0d0197cffcc3c83&oe=5F7E0B28', 'https://instagram.ftpe8-3.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/117998488_3179640525407207_5947727699734075535_n.jpg?_nc_ht=instagram.ftpe8-3.fna.fbcdn.net&_nc_cat=111&_nc_ohc=x6vOMwHjK38AX_iju7G&oh=ce830ca750711690e7598d8f34bba647&oe=5F7FA96A']"
2380542770925205405,2020-08-21 17:40:34,"喜歡💜👉👉👉

#cafein #玩具總動員快閃店 #皮克斯 #玩具總動員 #迪士尼 #disney #pixar #toystory","cafein
玩具總動員快閃店
皮克斯
玩具總動員
迪士尼
disney
pixar
toystory",,Cafein,18,1236,8,0,3,https://www.instagram.com/p/CEJYwmZnved/,"['https://instagram.ftpe8-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/117933541_324043745379192_4156508795569598703_n.jpg?_nc_ht=instagram.ftpe8-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=68-VJSMlYDkAX957LsB&oh=5afe6687af52d046e7b28398dcca9457&oe=5F7DFA66', 'https://instagram.ftpe8-4.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/118044612_616087872612688_3775393319212166312_n.jpg?_nc_ht=instagram.ftpe8-4.fna.fbcdn.net&_nc_cat=104&_nc_ohc=ElfT_tXIu2YAX-NVvOL&oh=b0f8e16b46102d74a79c492e10f6562c&oe=5F7FF347', 'https://instagram.ftpe8-3.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/117811249_120787736162346_2981061426835674206_n.jpg?_nc_ht=instagram.ftpe8-3.fna.fbcdn.net&_nc_cat=106&_nc_ohc=Wi8uxbZ4q-UAX8o_eze&oh=e03152a027c108466a94075b879b8969&oe=5F7DEA67']"
